# Generated by tools/hexagon-diff/gen_cases.py from the Hexagon spec.
# TAG<TAB>ASM<TAB>word0,word1,...   (mcpu=hexagonv68)
A2_abs	R0=abs(R4)	8c84c080
S4_or_ori	R0|=or(R4,#-3)	daa4ffa0
S4_or_ori	R0|=or(R4,#-512)	daa4c000
S4_or_ori	R0|=or(R4,#0)	da84c000
S4_or_ori	R0|=or(R4,#255)	da84dfe0
S4_or_ori	R0|=or(R4,#511)	da84ffe0
S4_ori_asl_ri	R0=or(#0,asl(R0,#0))	de00c002
S4_ori_asl_ri	R0=or(#1,asl(R0,#1))	de00c10a
S4_ori_asl_ri	R0=or(#127,asl(R0,#15))	de60efea
S4_ori_asl_ri	R0=or(#255,asl(R0,#31))	dee0ffea
S4_ori_asl_ri	R0=or(#3,asl(R0,#3))	de00c32a
S4_ori_lsr_ri	R0=or(#0,lsr(R0,#0))	de00c012
S4_ori_lsr_ri	R0=or(#1,lsr(R0,#1))	de00c11a
S4_ori_lsr_ri	R0=or(#127,lsr(R0,#15))	de60effa
S4_ori_lsr_ri	R0=or(#255,lsr(R0,#31))	dee0fffa
S4_ori_lsr_ri	R0=or(#3,lsr(R0,#3))	de00c33a
S4_parity	R0=parity(R4,R6)	d5e4c600
S4_subaddi	R0=add(R4,sub(#-3,R8))	dbe4e0a8
S4_subaddi	R0=add(R4,sub(#-32,R8))	dbc4c008
S4_subaddi	R0=add(R4,sub(#0,R8))	db84c008
S4_subaddi	R0=add(R4,sub(#15,R8))	db84e0e8
S4_subaddi	R0=add(R4,sub(#31,R8))	dba4e0e8
S4_subi_asl_ri	R0=sub(#0,asl(R0,#0))	de00c006
S4_subi_asl_ri	R0=sub(#1,asl(R0,#1))	de00c10e
S4_subi_asl_ri	R0=sub(#127,asl(R0,#15))	de60efee
S4_subi_asl_ri	R0=sub(#255,asl(R0,#31))	dee0ffee
S4_subi_asl_ri	R0=sub(#3,asl(R0,#3))	de00c32e
S4_subi_lsr_ri	R0=sub(#0,lsr(R0,#0))	de00c016
S4_subi_lsr_ri	R0=sub(#1,lsr(R0,#1))	de00c11e
S4_subi_lsr_ri	R0=sub(#127,lsr(R0,#15))	de60effe
S4_subi_lsr_ri	R0=sub(#255,lsr(R0,#31))	dee0fffe
S4_subi_lsr_ri	R0=sub(#3,lsr(R0,#3))	de00c33e
S4_vrcrotate	R1:0=vrcrotate(R5:4,R6,#0)	c3c4c6c0
S4_vrcrotate	R1:0=vrcrotate(R5:4,R6,#1)	c3c4c6e0
S4_vrcrotate	R1:0=vrcrotate(R5:4,R6,#3)	c3c4e6e0
S4_vrcrotate_acc	R1:0+=vrcrotate(R5:4,R6,#0)	cba4c600
S4_vrcrotate_acc	R1:0+=vrcrotate(R5:4,R6,#1)	cba4c620
S4_vrcrotate_acc	R1:0+=vrcrotate(R5:4,R6,#3)	cba4e620
S4_vxaddsubh	R1:0=vxaddsubh(R5:4,R7:6):sat	c144c680
S4_vxaddsubhr	R1:0=vxaddsubh(R5:4,R7:6):rnd:>>1:sat	c1c4c600
S4_vxaddsubw	R1:0=vxaddsubw(R5:4,R7:6):sat	c144c600
S4_vxsubaddh	R1:0=vxsubaddh(R5:4,R7:6):sat	c144c6c0
S4_vxsubaddhr	R1:0=vxsubaddh(R5:4,R7:6):rnd:>>1:sat	c1c4c640
S4_vxsubaddw	R1:0=vxsubaddw(R5:4,R7:6):sat	c144c640
S5_asrhub_rnd_sat	R0=vasrhub(R5:4,#0):raw	8864c080
S5_asrhub_rnd_sat	R0=vasrhub(R5:4,#1):raw	8864c180
S5_asrhub_rnd_sat	R0=vasrhub(R5:4,#15):raw	8864cf80
S5_asrhub_rnd_sat	R0=vasrhub(R5:4,#3):raw	8864c380
S5_asrhub_rnd_sat	R0=vasrhub(R5:4,#7):raw	8864c780
S5_asrhub_sat	R0=vasrhub(R5:4,#0):sat	8864c0a0
S5_asrhub_sat	R0=vasrhub(R5:4,#1):sat	8864c1a0
S5_asrhub_sat	R0=vasrhub(R5:4,#15):sat	8864cfa0
S5_asrhub_sat	R0=vasrhub(R5:4,#3):sat	8864c3a0
S5_asrhub_sat	R0=vasrhub(R5:4,#7):sat	8864c7a0
S5_vasrhrnd	R1:0=vasrh(R5:4,#0):raw	8024c000
S5_vasrhrnd	R1:0=vasrh(R5:4,#1):raw	8024c100
S5_vasrhrnd	R1:0=vasrh(R5:4,#15):raw	8024cf00
S5_vasrhrnd	R1:0=vasrh(R5:4,#3):raw	8024c300
S5_vasrhrnd	R1:0=vasrh(R5:4,#7):raw	8024c700
S6_rol_i_p	R1:0=rol(R5:4,#0)	8004c060
S6_rol_i_p	R1:0=rol(R5:4,#1)	8004c160
S6_rol_i_p	R1:0=rol(R5:4,#3)	8004c360
S6_rol_i_p	R1:0=rol(R5:4,#31)	8004df60
S6_rol_i_p	R1:0=rol(R5:4,#63)	8004ff60
S6_rol_i_p_acc	R1:0+=rol(R5:4,#0)	8204c0e0
S6_rol_i_p_acc	R1:0+=rol(R5:4,#1)	8204c1e0
S6_rol_i_p_acc	R1:0+=rol(R5:4,#3)	8204c3e0
S6_rol_i_p_acc	R1:0+=rol(R5:4,#31)	8204dfe0
S6_rol_i_p_acc	R1:0+=rol(R5:4,#63)	8204ffe0
S6_rol_i_p_and	R1:0&=rol(R5:4,#0)	8244c060
S6_rol_i_p_and	R1:0&=rol(R5:4,#1)	8244c160
S6_rol_i_p_and	R1:0&=rol(R5:4,#3)	8244c360
S6_rol_i_p_and	R1:0&=rol(R5:4,#31)	8244df60
S6_rol_i_p_and	R1:0&=rol(R5:4,#63)	8244ff60
S6_rol_i_p_nac	R1:0-=rol(R5:4,#0)	8204c060
S6_rol_i_p_nac	R1:0-=rol(R5:4,#1)	8204c160
S6_rol_i_p_nac	R1:0-=rol(R5:4,#3)	8204c360
S6_rol_i_p_nac	R1:0-=rol(R5:4,#31)	8204df60
S6_rol_i_p_nac	R1:0-=rol(R5:4,#63)	8204ff60
S6_rol_i_p_or	R1:0|=rol(R5:4,#0)	8244c0e0
S6_rol_i_p_or	R1:0|=rol(R5:4,#1)	8244c1e0
S6_rol_i_p_or	R1:0|=rol(R5:4,#3)	8244c3e0
S6_rol_i_p_or	R1:0|=rol(R5:4,#31)	8244dfe0
S6_rol_i_p_or	R1:0|=rol(R5:4,#63)	8244ffe0
S6_rol_i_p_xacc	R1:0^=rol(R5:4,#0)	8284c060
S6_rol_i_p_xacc	R1:0^=rol(R5:4,#1)	8284c160
S6_rol_i_p_xacc	R1:0^=rol(R5:4,#3)	8284c360
S6_rol_i_p_xacc	R1:0^=rol(R5:4,#31)	8284df60
S6_rol_i_p_xacc	R1:0^=rol(R5:4,#63)	8284ff60
S6_rol_i_r	R0=rol(R4,#0)	8c04c060
S6_rol_i_r	R0=rol(R4,#1)	8c04c160
S6_rol_i_r	R0=rol(R4,#15)	8c04cf60
S6_rol_i_r	R0=rol(R4,#3)	8c04c360
S6_rol_i_r	R0=rol(R4,#31)	8c04df60
S6_rol_i_r_acc	R0+=rol(R4,#0)	8e04c0e0
S6_rol_i_r_acc	R0+=rol(R4,#1)	8e04c1e0
S6_rol_i_r_acc	R0+=rol(R4,#15)	8e04cfe0
S6_rol_i_r_acc	R0+=rol(R4,#3)	8e04c3e0
S6_rol_i_r_acc	R0+=rol(R4,#31)	8e04dfe0
S6_rol_i_r_and	R0&=rol(R4,#0)	8e44c060
S6_rol_i_r_and	R0&=rol(R4,#1)	8e44c160
S6_rol_i_r_and	R0&=rol(R4,#15)	8e44cf60
S6_rol_i_r_and	R0&=rol(R4,#3)	8e44c360
S6_rol_i_r_and	R0&=rol(R4,#31)	8e44df60
S6_rol_i_r_nac	R0-=rol(R4,#0)	8e04c060
S6_rol_i_r_nac	R0-=rol(R4,#1)	8e04c160
S6_rol_i_r_nac	R0-=rol(R4,#15)	8e04cf60
S6_rol_i_r_nac	R0-=rol(R4,#3)	8e04c360
S6_rol_i_r_nac	R0-=rol(R4,#31)	8e04df60
S6_rol_i_r_or	R0|=rol(R4,#0)	8e44c0e0
S6_rol_i_r_or	R0|=rol(R4,#1)	8e44c1e0
S6_rol_i_r_or	R0|=rol(R4,#15)	8e44cfe0
S6_rol_i_r_or	R0|=rol(R4,#3)	8e44c3e0
S6_rol_i_r_or	R0|=rol(R4,#31)	8e44dfe0
S6_rol_i_r_xacc	R0^=rol(R4,#0)	8e84c060
S6_rol_i_r_xacc	R0^=rol(R4,#1)	8e84c160
S6_rol_i_r_xacc	R0^=rol(R4,#15)	8e84cf60
S6_rol_i_r_xacc	R0^=rol(R4,#3)	8e84c360
S6_rol_i_r_xacc	R0^=rol(R4,#31)	8e84df60
S6_vtrunehb_ppp	R1:0=vtrunehb(R5:4,R7:6)	c184c660
S6_vtrunohb_ppp	R1:0=vtrunohb(R5:4,R7:6)	c184c6a0
Y2_dccleana	dccleana(R4)	a004c000
Y2_dccleaninva	dccleaninva(R4)	a044c000
Y2_dcinva	dcinva(R4)	a024c000
Y4_l2fetch	l2fetch(R4,R6)	a604c600
Y5_l2fetch	l2fetch(R4,R7:6)	a684c600
